model,OUI,testID,result
CUDY-X6,b44bd6,inet-dns-000001,pass
CUDY-X6,b44bd6,ntp-000001,pass
CUDY-X6,b44bd6,uhttpd-000001,pass
CUDY-X6,b44bd6,firewall-fw4-test-000001,pass
CUDY-X6,b44bd6,opkg-unzip-000001,pass
CUDY-X6,b44bd6,all-radio-on-000001,pass
CUDY-X6,b44bd6,wireless-extra-options-radio0-2g-11-10-psk2,pass
CUDY-X6,b44bd6,wireless-extra-options-radio1-5g-36-10-psk2+ccmp,unknown
CUDY-X6,b44bd6,radio0-2g-1-10-psk2,pass
CUDY-X6,b44bd6,radio0-2g-1-10-sae,pass
CUDY-X6,b44bd6,radio0-2g-1-10-sae-mixed,pass
CUDY-X6,b44bd6,radio0-2g-1-1-psk2,pass
CUDY-X6,b44bd6,radio0-2g-1-1-sae,pass
CUDY-X6,b44bd6,radio0-2g-1-1-sae-mixed,pass
CUDY-X6,b44bd6,radio0-2g-6-10-psk2,pass
CUDY-X6,b44bd6,radio0-2g-6-10-sae,pass
CUDY-X6,b44bd6,radio0-2g-6-10-sae-mixed,pass
CUDY-X6,b44bd6,radio0-2g-6-1-psk2,pass
CUDY-X6,b44bd6,radio0-2g-6-1-sae,pass
CUDY-X6,b44bd6,radio0-2g-6-1-sae-mixed,pass
CUDY-X6,b44bd6,radio0-2g-11-10-psk2,pass
CUDY-X6,b44bd6,radio0-2g-11-10-sae,pass
CUDY-X6,b44bd6,radio0-2g-11-10-sae-mixed,pass
CUDY-X6,b44bd6,radio0-2g-11-1-psk2,pass
CUDY-X6,b44bd6,radio0-2g-11-1-sae,pass
CUDY-X6,b44bd6,radio0-2g-11-1-sae-mixed,pass
CUDY-X6,b44bd6,radio1-5g-36-4-psk2,pass
CUDY-X6,b44bd6,radio1-5g-36-4-sae,pass
CUDY-X6,b44bd6,radio1-5g-36-4-sae-mixed,pass
CUDY-X6,b44bd6,radio1-5g-36-1-psk2,pass
CUDY-X6,b44bd6,radio1-5g-36-1-sae,pass
CUDY-X6,b44bd6,radio1-5g-36-1-sae-mixed,pass
CUDY-X6,b44bd6,radio1-5g-100-4-psk2,pass
CUDY-X6,b44bd6,radio1-5g-100-4-sae,unknown
CUDY-X6,b44bd6,radio1-5g-100-4-sae-mixed,unknown
CUDY-X6,b44bd6,radio1-5g-100-1-psk2,pass
CUDY-X6,b44bd6,radio1-5g-100-1-sae,unknown
CUDY-X6,b44bd6,radio1-5g-100-1-sae-mixed,unknown
CUDY-X6,b44bd6,radio1-5g-149-4-psk2,pass
CUDY-X6,b44bd6,radio1-5g-149-4-sae,pass
CUDY-X6,b44bd6,radio1-5g-149-4-sae-mixed,pass
CUDY-X6,b44bd6,radio1-5g-149-1-psk2,pass
CUDY-X6,b44bd6,radio1-5g-149-1-sae,pass
CUDY-X6,b44bd6,radio1-5g-149-1-sae-mixed,pass
CUDY-X6,b44bd6,radio1-5g-165-4-psk2,pass
CUDY-X6,b44bd6,radio1-5g-165-4-sae,pass
CUDY-X6,b44bd6,radio1-5g-165-4-sae-mixed,pass
CUDY-X6,b44bd6,radio1-5g-165-1-psk2,pass
CUDY-X6,b44bd6,radio1-5g-165-1-sae,pass
CUDY-X6,b44bd6,radio1-5g-165-1-sae-mixed,pass
    
